Lema	POS	rARF_Janes	rARF_Gos	rARF_Kres	rARF_Šolar	rARF_Povprečno	
biti	g	5,01476	6,18166	4,95777	7,31787	5,86802	
in	v	1,22207	0,84364	1,86027	2,16501	1,52275	
se	z	1,15668	1,17209	1,13885	2,04662	1,37856	
v	d	1,20806	0,95806	1,56035	1,4394	1,29147	
ta	z	0,82406	1,83723	0,61854	0,9147	1,04863	
da	v	0,91016	1,10578	0,7355	1,18902	0,98512	
pa	v	0,94946	1,63704	0,51603	0,67546	0,94450	
na	d	0,9468	0,648	0,9314	0,76216	0,82209	
ne	l	0,76338	1,72368	0,37852	0,4196	0,82130	
on	z	0,55112	0,62002	0,70607	1,30957	0,79670	
z	d	0,60406	0,40241	0,85105	0,68266	0,63505	
za	d	0,73012	0,40425	0,69684	0,48206	0,57832	
jaz	z	0,56772	0,79079	0,19536	0,3345	0,47209	
ki	v	0,33496	0,2756	0,62062	0,5575	0,44717	
tudi	l	0,34917	0,43629	0,35297	0,45	0,39711	
imeti	g	0,41605	0,54297	0,21516	0,3932	0,39185	
ja	l	0,08674	1,193	0,00893	0,00326	0,32298	
še	l	0,38047	0,39612	0,24815	0,23352	0,31457	
tako	r	0,17874	0,49767	0,18284	0,23315	0,27310	
kot	v	0,26005	0,17347	0,27363	0,28127	0,24711	
ves	z	0,28037	0,17841	0,2109	0,30632	0,24400	
po	d	0,24228	0,17434	0,28667	0,25592	0,23980	
če	v	0,30767	0,31935	0,15375	0,17808	0,23971	
ko	v	0,18553	0,21694	0,16875	0,3441	0,22883	
lahko	r	0,21526	0,21907	0,20293	0,24177	0,21976	
že	l	0,24045	0,24685	0,15374	0,13279	0,19346	
ti	z	0,26636	0,32081	0,08679	0,08301	0,18924	
ali	v	0,17887	0,24191	0,21004	0,12344	0,18857	
svoj	z	0,115	0,05586	0,17534	0,35068	0,17422	
ker	v	0,15329	0,25837	0,07743	0,20675	0,17396	
od	d	0,184	0,13175	0,19806	0,1694	0,17080	
vedeti	g	0,14887	0,3754	0,05728	0,08529	0,16671	
saj	v	0,09965	0,18228	0,07524	0,28952	0,16167	
kaj	z	0,22171	0,24511	0,06231	0,09969	0,15721	
iz	d	0,15334	0,09371	0,20762	0,16602	0,15517	
en	k	0,16025	0,29099	0,08956	0,07556	0,15409	
pri	d	0,15613	0,11897	0,18646	0,15174	0,15333	
do	d	0,12941	0,10397	0,16754	0,20682	0,15194	
drug	k	0,12535	0,12178	0,17077	0,18356	0,15037	
iti	g	0,16813	0,25595	0,07398	0,09642	0,14862	
o	d	0,15816	0,08857	0,1696	0,15993	0,14407	
samo	l	0,18405	0,22197	0,06376	0,08535	0,13878	
a	v	0,07129	0,29331	0,06413	0,09747	0,13155	
reči	g	0,08084	0,30357	0,04503	0,0592	0,12216	
morati	g	0,11211	0,12284	0,10349	0,13864	0,11927	
zdaj	r	0,07862	0,33291	0,0404	0,02246	0,11860	
kako	r	0,11946	0,16611	0,06902	0,09224	0,11171	
leto	s	0,12283	0,08141	0,15402	0,08486	0,11078	
zelo	r	0,05961	0,08064	0,06527	0,23192	0,10936	
človek	s	0,08598	0,05682	0,07373	0,20152	0,10451	
kar	r	0,09453	0,18702	0,07134	0,05304	0,10148	
kateri	z	0,07305	0,07173	0,12898	0,1211	0,09872	
ampak	v	0,09936	0,18954	0,03248	0,0707	0,09802	
tisti	z	0,08231	0,16795	0,07005	0,06787	0,09705	
dober	p	0,13356	0,08412	0,06593	0,10036	0,09599	
priti	g	0,07597	0,12943	0,05387	0,11931	0,09465	
misliti	g	0,07462	0,18518	0,02777	0,09039	0,09449	
čas	s	0,084	0,05489	0,09287	0,1371	0,09222	
med	d	0,06858	0,0363	0,12454	0,12399	0,08835	
videti	g	0,08893	0,11529	0,04731	0,10141	0,08824	
potem	r	0,11076	0,15256	0,04532	0,0403	0,08724	
dan	s	0,10205	0,06128	0,08557	0,09581	0,08618	
nekaj	r	0,06676	0,12885	0,07581	0,07279	0,08605	
kaj	r	0,03236	0,25953	0,03438	0,01052	0,08420	
velik	p	0,06929	0,05711	0,10518	0,09495	0,08163	
sam	p	0,0565	0,0667	0,06691	0,12731	0,07936	
dati	g	0,09369	0,13736	0,03372	0,05261	0,07935	
no	l	0,05986	0,24143	0,01009	0,00498	0,07909	
res	r	0,11708	0,11829	0,03222	0,0379	0,07637	
bolj	r	0,07834	0,07967	0,05815	0,08424	0,07510	
dobro	r	0,06071	0,12507	0,05031	0,06246	0,07464	
ob	d	0,07986	0,03669	0,10712	0,07476	0,07461	
moj	z	0,09122	0,06253	0,03635	0,10073	0,07271	
moči	g	0,06771	0,10697	0,04902	0,06467	0,07209	
vsak	z	0,07009	0,05489	0,06598	0,09618	0,07179	
malo	r	0,08674	0,13281	0,02698	0,03914	0,07142	
le	l	0,06976	0,01113	0,09498	0,10602	0,07047	
njegov	z	0,03074	0,015	0,07801	0,15494	0,06967	
dva	k	0,04999	0,10745	0,06425	0,0547	0,06910	
več	r	0,0874	0,04569	0,07174	0,0715	0,06908	
nov	p	0,0987	0,04046	0,08853	0,04757	0,06882	
zato	v	0,04473	0,05276	0,04629	0,12824	0,06801	
zaradi	d	0,05504	0,03737	0,06666	0,10793	0,06675	
pred	d	0,07406	0,03795	0,08934	0,0632	0,06614	
kakšen	z	0,07561	0,10958	0,03931	0,03963	0,06603	
prvi	k	0,06266	0,05915	0,07881	0,05384	0,06362	
tak	z	0,06849	0,10929	0,03144	0,04258	0,06295	
vedno	r	0,07301	0,03446	0,05375	0,08522	0,06161	
povedati	g	0,04838	0,08528	0,03649	0,07464	0,06120	
naj	l	0,07378	0,04124	0,06636	0,06067	0,06051	
kar	z	0,06614	0,01742	0,0617	0,09304	0,05958	
življenje	s	0,02531	0,01404	0,04404	0,14953	0,05823	
veliko	r	0,04249	0,03398	0,04306	0,11242	0,05799	
naš	z	0,06926	0,05866	0,05215	0,05175	0,05796	
prav	l	0,04626	0,06331	0,0609	0,06098	0,05786	
dobiti	g	0,06583	0,06147	0,03945	0,05815	0,05623	
tam	r	0,0375	0,12226	0,0241	0,03649	0,05509	
danes	r	0,08997	0,06592	0,02704	0,0371	0,05501	
narediti	g	0,04973	0,07647	0,02506	0,06492	0,05405	
nek	z	0,03257	0,0756	0,02333	0,0843	0,05395	
hoteti	g	0,04584	0,04792	0,02944	0,09144	0,05366	
začeti	g	0,04238	0,04211	0,04825	0,08178	0,05363	
delo	s	0,04159	0,03282	0,0673	0,07126	0,05324	
kdo	z	0,09615	0,05944	0,02934	0,02775	0,05317	
pol	r	0,00932	0,17715	0,01237	0,00505	0,05097	
delati	g	0,06025	0,0726	0,02288	0,04092	0,04916	
vendar	v	0,0201	0,00968	0,04814	0,11544	0,04834	
ter	v	0,02011	0,00223	0,07279	0,09753	0,04817	
lep	p	0,06226	0,04027	0,02467	0,06313	0,04758	
želeti	g	0,03796	0,02072	0,03761	0,09132	0,04690	
seveda	l	0,04069	0,08122	0,03338	0,03218	0,04687	
brez	d	0,06751	0,02478	0,0465	0,0427	0,04537	
govoriti	g	0,03409	0,04376	0,02601	0,07439	0,04456	
gledati	g	0,04781	0,08112	0,01842	0,03058	0,04448	
konec	s	0,04019	0,03679	0,03611	0,06455	0,04441	
k	d	0,036	0,02643	0,0564	0,05766	0,04412	
pač	l	0,03672	0,11733	0,01391	0,00708	0,04376	
kjer	v	0,03159	0,0302	0,04708	0,05913	0,04200	
otrok	s	0,03176	0,0152	0,03728	0,08258	0,04171	
star	p	0,03842	0,03475	0,04084	0,052	0,04150	
več	l	0,04109	0,04618	0,03307	0,0443	0,04116	
svet	s	0,03516	0,01617	0,0491	0,06227	0,04068	
stvar	s	0,03072	0,0483	0,02099	0,05846	0,03962	
zakaj	r	0,06105	0,0486	0,02338	0,02412	0,03929	
praviti	g	0,03743	0,07231	0,02448	0,02283	0,03926	
stran	s	0,04087	0,03388	0,0449	0,03735	0,03925	
nič	z	0,05788	0,0395	0,01942	0,03981	0,03915	
njen	z	0,01468	0,01045	0,04796	0,07827	0,03784	
primer	s	0,02892	0,03224	0,04154	0,04824	0,03774	
sploh	l	0,0516	0,04676	0,023	0,02837	0,03743	
vse	r	0,01319	0,07018	0,04231	0,02006	0,03644	
mesto	s	0,03185	0,01878	0,048	0,04092	0,03489	
rad	r	0,02853	0,02701	0,02474	0,0576	0,03447	
zdeti	g	0,02749	0,03688	0,02133	0,05163	0,03433	
trije	k	0,02169	0,0575	0,03872	0,01932	0,03431	
živeti	g	0,02138	0,01307	0,0221	0,07655	0,03328	
skupaj	r	0,02392	0,03562	0,02938	0,04141	0,03258	
treba	r	0,04254	0,04163	0,0316	0,01268	0,03211	
slovenski	p	0,04318	0,01897	0,04147	0,02412	0,03194	
ostati	g	0,02978	0,02594	0,02691	0,04357	0,03155	
del	s	0,02611	0,0213	0,04475	0,03249	0,03116	
šola	s	0,01161	0,01549	0,01839	0,07723	0,03068	
najti	g	0,03547	0,02149	0,02882	0,03686	0,03066	
pravi	p	0,02944	0,0332	0,02701	0,03212	0,03044	
ura	s	0,03326	0,03475	0,0344	0,01901	0,03036	
zadnji	p	0,04068	0,02343	0,03859	0,0184	0,03028	
takrat	r	0,0193	0,03659	0,01999	0,0443	0,03005	
kje	r	0,04633	0,04879	0,01293	0,01114	0,02980	
družina	s	0,00915	0,00658	0,01752	0,08566	0,02973	
najbolj	r	0,03034	0,0242	0,0309	0,03329	0,02968	
naprej	r	0,0263	0,04647	0,01999	0,02578	0,02964	
pomagati	g	0,02514	0,01752	0,02353	0,05224	0,02961	
njihov	z	0,02344	0,01055	0,04385	0,03963	0,02937	
oče	s	0,0063	0,00523	0,01193	0,09341	0,02922	
pod	d	0,03437	0,01733	0,04121	0,02234	0,02881	
spet	r	0,04153	0,03214	0,02227	0,01889	0,02871	
prej	r	0,02652	0,04482	0,01907	0,02246	0,02822	
sicer	l	0,03022	0,03107	0,0364	0,01495	0,02816	
toliko	r	0,03677	0,0423	0,01712	0,01637	0,02814	
tu	r	0,02458	0,05518	0,01668	0,01575	0,02805	
pomeniti	g	0,02352	0,02759	0,02693	0,03329	0,02783	
čeprav	v	0,01936	0,01597	0,0285	0,04584	0,02742	
postati	g	0,0195	0,00784	0,03176	0,04861	0,02693	
vsaj	l	0,04165	0,02275	0,02383	0,01944	0,02692	
pogledati	g	0,0303	0,04995	0,01378	0,01317	0,02680	
čisto	r	0,03137	0,04763	0,00988	0,01803	0,02673	
način	s	0,01712	0,02081	0,02914	0,03926	0,02658	
celo	l	0,02261	0,02352	0,03011	0,02855	0,02620	
proti	d	0,03247	0,01326	0,0321	0,0264	0,02606	
nikoli	r	0,02994	0,01607	0,02025	0,03772	0,02600	
problem	s	0,03401	0,02565	0,01203	0,03224	0,02598	
pomemben	p	0,01595	0,01413	0,03309	0,04055	0,02593	
ljubezen	s	0,00613	0,00213	0,0102	0,08504	0,02588	
tako	v	0,01673	0,06079	0,01141	0,01434	0,02582	
čakati	g	0,03097	0,03756	0,01494	0,01975	0,02581	
nekateri	z	0,02181	0,00987	0,03349	0,03747	0,02566	
država	s	0,03718	0,01375	0,03109	0,02018	0,02555	
znati	g	0,03144	0,03088	0,01454	0,02523	0,02552	
čez	d	0,0296	0,02691	0,01985	0,0256	0,02549	
tale	z	0,05025	0,04492	0,00481	0,00142	0,02535	
beseda	s	0,02216	0,01433	0,02752	0,0368	0,02520	
lepo	r	0,02469	0,03649	0,01232	0,02701	0,02513	
drugače	r	0,02855	0,03543	0,01209	0,02338	0,02486	
isti	z	0,0311	0,02894	0,01773	0,02104	0,02470	
noben	z	0,0299	0,02565	0,01959	0,02338	0,02463	
pot	s	0,01957	0,01123	0,02908	0,03827	0,02454	
oziroma	v	0,00851	0,04608	0,02586	0,01754	0,02450	
nič	r	0,01617	0,05799	0,01616	0,00732	0,02441	
koliko	r	0,03262	0,04811	0,00968	0,0072	0,02440	
poznati	g	0,02627	0,02439	0,01821	0,02855	0,02436	
vzeti	g	0,02185	0,02759	0,01528	0,03224	0,02424	
odločiti	g	0,01224	0,01094	0,0187	0,05458	0,02412	
slab	p	0,02785	0,01258	0,01572	0,03932	0,02387	
razumeti	g	0,02965	0,02168	0,01432	0,02947	0,02378	
hvala	s	0,05709	0,02962	0,00479	0,00332	0,02371	
enkrat	r	0,02437	0,0424	0,01304	0,01415	0,02349	
mlad	p	0,01664	0,0122	0,02604	0,03723	0,02303	
zato	r	0,01439	0,0182	0,0289	0,03034	0,02296	
takšen	z	0,01954	0,01704	0,02535	0,02972	0,02291	
torej	r	0,02293	0,03611	0,02008	0,01225	0,02284	
kdaj	r	0,02995	0,03369	0,01426	0,01341	0,02283	
mnenje	s	0,01595	0,00629	0,01338	0,05323	0,02221	
zgoditi	g	0,01681	0,01936	0,01777	0,03471	0,02216	
pisati	g	0,0315	0,02401	0,01369	0,01901	0,02205	
upati	g	0,03503	0,0183	0,01071	0,02363	0,02192	
tukaj	r	0,01727	0,0486	0,00893	0,01268	0,02187	
roka	s	0,02253	0,01559	0,02841	0,02018	0,02168	
prijatelj	s	0,00966	0,00813	0,0144	0,05415	0,02159	
manj	r	0,02499	0,01675	0,02273	0,02184	0,02158	
nazaj	r	0,02463	0,02827	0,01134	0,02098	0,02131	
oba	z	0,01507	0,01133	0,02161	0,03717	0,02130	
vprašanje	s	0,02568	0,02381	0,02501	0,0104	0,02123	
oseba	s	0,01083	0,00465	0,01793	0,05144	0,02121	
verjetno	r	0,02905	0,02875	0,01422	0,01212	0,02104	
starš	s	0,00716	0,00484	0,01006	0,06184	0,02098	
niti	l	0,02926	0,01694	0,02155	0,01606	0,02095	
skoraj	l	0,02406	0,01646	0,02244	0,02043	0,02085	
majhen	p	0,01619	0,01452	0,02964	0,02277	0,02078	
hitro	r	0,02024	0,02101	0,01905	0,02277	0,02077	
aha	m	0,00537	0,07676	0,00054	0,00018	0,02071	
predvsem	l	0,01576	0,01346	0,02831	0,02431	0,02046	
denar	s	0,02458	0,015	0,01634	0,02591	0,02046	
mogoč	p	0,01431	0,02749	0,02648	0,01354	0,02046	
glaven	p	0,01272	0,01955	0,01973	0,02867	0,02017	
začetek	s	0,01668	0,01733	0,02186	0,02418	0,02001	
ime	s	0,01872	0,0122	0,02412	0,02498	0,02001	
preveč	r	0,02525	0,01549	0,01503	0,02412	0,01997	
včasih	r	0,01702	0,02101	0,01419	0,02763	0,01996	
nato	r	0,00921	0,00203	0,02318	0,04541	0,01996	
zgodba	s	0,01242	0,00716	0,01289	0,04701	0,01987	
cel	p	0,02497	0,02798	0,00814	0,0176	0,01967	
doma	r	0,01743	0,02226	0,01169	0,02695	0,01958	
nad	d	0,02158	0,00774	0,02708	0,02191	0,01958	
slišati	g	0,02074	0,02517	0,01368	0,01852	0,01953	
pokazati	g	0,0145	0,01559	0,01876	0,02923	0,01952	
nekdo	z	0,02377	0,01433	0,01076	0,02874	0,01940	
različen	p	0,00972	0,01016	0,02923	0,02843	0,01939	
prositi	g	0,02154	0,02343	0,0103	0,02135	0,01916	
takoj	r	0,01808	0,01907	0,01755	0,02191	0,01915	
visok	p	0,0168	0,01181	0,02946	0,0184	0,01912	
zame	z	0,01923	0,00697	0,01938	0,03064	0,01906	
naslednji	p	0,01791	0,01617	0,0229	0,01914	0,01903	
meniti	g	0,00812	0,01926	0,01275	0,03477	0,01873	
napisati	g	0,02622	0,01655	0,0093	0,02264	0,01868	
smeti	g	0,01654	0,01694	0,01649	0,02474	0,01868	
nekaj	z	0,03111	0,00978	0,00754	0,02603	0,01862	
vrsta	s	0,01627	0,01413	0,03062	0,01323	0,01856	
družba	s	0,01264	0,00532	0,02	0,036	0,01849	
mesec	s	0,02285	0,01394	0,02282	0,01415	0,01844	
ženska	s	0,01552	0,00939	0,0188	0,02966	0,01834	
glede	r	0,02189	0,01684	0,01928	0,01532	0,01833	
najprej	r	0,01427	0,02236	0,01767	0,01871	0,01825	
vprašati	g	0,01937	0,02246	0,01312	0,01723	0,01805	
ravno	l	0,02405	0,0152	0,01157	0,02117	0,01800	
težava	s	0,01664	0,00939	0,02143	0,02424	0,01793	
vaš	z	0,01939	0,02362	0,01986	0,00837	0,01781	
podoben	p	0,01852	0,009	0,01797	0,02548	0,01774	
teden	s	0,02557	0,01868	0,01902	0,00751	0,01770	
glava	s	0,02046	0,00958	0,0179	0,02246	0,01760	
oditi	g	0,00401	0,00203	0,00847	0,05452	0,01726	
pustiti	g	0,01523	0,01733	0,01302	0,02264	0,01706	
težko	r	0,01673	0,01771	0,01393	0,0184	0,01669	
sedaj	r	0,02703	0,00891	0,00952	0,02055	0,01650	
knjiga	s	0,01253	0,00629	0,01804	0,02911	0,01649	
hoditi	g	0,01195	0,0212	0,00906	0,02363	0,01646	
dovolj	r	0,02016	0,00929	0,01881	0,01741	0,01642	
red	s	0,01033	0,04027	0,01111	0,00388	0,01640	
mati	s	0,00762	0,00455	0,00694	0,04627	0,01635	
tvoj	z	0,03109	0,01684	0,00806	0,00929	0,01632	
zanimati	g	0,02674	0,01549	0,00994	0,01292	0,01627	
voda	s	0,01514	0,01655	0,02116	0,01212	0,01624	
verjeti	g	0,02491	0,012	0,01118	0,01649	0,01615	
mogoče	r	0,02584	0,02691	0,00464	0,00708	0,01612	
spremeniti	g	0,01225	0,00794	0,01572	0,02775	0,01592	
pomoč	s	0,01562	0,0061	0,02246	0,01932	0,01588	
morda	l	0,02003	0,0121	0,02202	0,00905	0,01580	
hud	p	0,02317	0,01055	0,01118	0,01821	0,01578	
iskati	g	0,01858	0,01346	0,01274	0,01828	0,01577	
dolgo	r	0,01909	0,01191	0,01383	0,01784	0,01567	
vseeno	r	0,01921	0,01549	0,0072	0,02037	0,01557	
odnos	s	0,00683	0,00474	0,0128	0,03784	0,01555	
bistvo	s	0,01131	0,04269	0,00412	0,004	0,01553	
zanimiv	p	0,02192	0,01133	0,01213	0,01668	0,01552	
mama	s	0,00629	0,012	0,00885	0,03464	0,01545	
spoznati	g	0,00713	0,00668	0,01117	0,03674	0,01543	
štirje	k	0,00657	0,02962	0,01774	0,0064	0,01508	
trenutek	s	0,0088	0,01084	0,01608	0,02406	0,01495	
nihče	z	0,01715	0,00503	0,01405	0,02332	0,01489	
zakon	s	0,01857	0,00445	0,02363	0,01274	0,01485	
ugotoviti	g	0,01015	0,00987	0,01615	0,0232	0,01484	
kljub	d	0,00954	0,00436	0,01773	0,02751	0,01479	
pet	k	0,00638	0,0334	0,01537	0,00357	0,01468	
kazati	g	0,01404	0,00862	0,01682	0,01908	0,01464	
možnost	s	0,01389	0,00862	0,02096	0,01483	0,01458	
umreti	g	0,00811	0,00436	0,00832	0,03747	0,01457	
kakor	v	0,00816	0,02023	0,01394	0,01588	0,01455	
večina	s	0,01641	0,00581	0,0173	0,01858	0,01453	
skupina	s	0,00896	0,0122	0,02602	0,00985	0,01426	
všeč	r	0,01345	0,00794	0,00621	0,02935	0,01424	
predstavljati	g	0,01152	0,00852	0,01617	0,02061	0,01421	
hiša	s	0,0099	0,00833	0,02045	0,01791	0,01415	
uspeti	g	0,016	0,00833	0,01304	0,01895	0,01408	
služba	s	0,0145	0,01045	0,01363	0,01772	0,01408	
dolg	p	0,01318	0,00891	0,01965	0,01428	0,01401	
skozi	d	0,00983	0,00997	0,01687	0,01926	0,01398	
ostal	p	0,0196	0,00997	0,00719	0,01914	0,01398	
poleg	d	0,01032	0,0059	0,02428	0,01477	0,01382	
vrniti	g	0,00998	0,006	0,01584	0,02326	0,01377	
drugačen	p	0,00981	0,00929	0,01106	0,0248	0,01374	
potrebovati	g	0,01435	0,00629	0,01892	0,01538	0,01374	
stati	g	0,01294	0,01055	0,01462	0,01668	0,01370	
pravica	s	0,01466	0,00436	0,01648	0,01914	0,01366	
dogajati	g	0,01244	0,01162	0,00851	0,02203	0,01365	
sprejeti	g	0,00875	0,00513	0,01405	0,02658	0,01363	
edin	p	0,01751	0,00968	0,01238	0,01483	0,01360	
odlomek	s	0,00029	0,00048	0,00081	0,05267	0,01356	
eden	k	0,01064	0,01181	0,01372	0,0176	0,01344	
šele	l	0,01694	0,00658	0,0168	0,01341	0,01343	
namreč	v	0,00954	0,00823	0,02435	0,01157	0,01342	
držati	g	0,01969	0,01181	0,01029	0,01138	0,01329	
oči	s	0,01063	0,00397	0,01645	0,02203	0,01327	
kratek	p	0,01329	0,01123	0,0179	0,01058	0,01325	
pozabiti	g	0,01874	0,01171	0,01029	0,01194	0,01317	
jezik	s	0,00835	0,0062	0,01158	0,0264	0,01313	
spomniti	g	0,0152	0,01907	0,00874	0,00948	0,01312	
raje	r	0,02118	0,00881	0,00834	0,01415	0,01312	
poseben	p	0,00982	0,00755	0,02507	0,01003	0,01312	
storiti	g	0,00615	0,003	0,01144	0,03181	0,01310	
slika	s	0,02154	0,00658	0,01956	0,00468	0,01309	
nekako	r	0,00936	0,02923	0,00504	0,00855	0,01305	
smrt	s	0,00632	0,00213	0,00996	0,03366	0,01302	
kupiti	g	0,01915	0,01355	0,00944	0,00991	0,01301	
domov	r	0,007	0,01191	0,0063	0,02683	0,01301	
uporabljati	g	0,01299	0,00745	0,01836	0,01311	0,01298	
sin	s	0,00452	0,0031	0,00725	0,03692	0,01295	
prostor	s	0,01104	0,00726	0,02591	0,0072	0,01285	
zadeva	s	0,01738	0,01607	0,01214	0,00578	0,01284	
končati	g	0,00819	0,00784	0,01077	0,02443	0,01281	
srce	s	0,00999	0,00319	0,01154	0,02621	0,01273	
sreča	s	0,01294	0,006	0,01057	0,02086	0,01259	
torej	v	0,00841	0,02943	0,00633	0,00591	0,01252	
kak	z	0,02594	0,01394	0,0079	0,00228	0,01252	
močen	p	0,00992	0,00571	0,01405	0,02031	0,01250	
poslušati	g	0,01177	0,01549	0,00675	0,01594	0,01249	
mali	p	0,01607	0,01258	0,01282	0,00825	0,01243	
določen	p	0,00866	0,00803	0,01797	0,01495	0,01240	
dogodek	s	0,00712	0,00271	0,01209	0,02763	0,01239	
precej	r	0,01328	0,01084	0,01591	0,00948	0,01238	
igrati	g	0,01314	0,00968	0,01228	0,0144	0,01238	
minuta	s	0,01269	0,02052	0,01275	0,00338	0,01234	
postaviti	g	0,0103	0,00784	0,01463	0,01643	0,01230	
tema	s	0,01741	0,00939	0,01083	0,01145	0,01227	
današnji	p	0,01225	0,006	0,00596	0,0248	0,01225	
misel	s	0,01023	0,00852	0,01131	0,01889	0,01224	
mož	s	0,00564	0,00378	0,01064	0,0288	0,01222	
pasti	g	0,01667	0,01094	0,00829	0,01292	0,01221	
razmišljati	g	0,01091	0,01016	0,00785	0,01957	0,01212	
tretji	k	0,00891	0,01394	0,01539	0,00954	0,01195	
prebrati	g	0,02065	0,00939	0,00675	0,01077	0,01189	
žena	s	0,00588	0,00455	0,00871	0,02837	0,01188	
naj	v	0,01312	0,00174	0,01218	0,02043	0,01187	
poslati	g	0,01455	0,01171	0,01088	0,01021	0,01184	
pogled	s	0,00845	0,00348	0,01691	0,01821	0,01176	
dosti	r	0,0113	0,0243	0,00298	0,00831	0,01172	
gor	r	0,00956	0,03417	0,00215	0,0008	0,01167	
obstajati	g	0,01809	0,0062	0,01096	0,01114	0,01160	
ali	r	0,02713	0,00813	0,00173	0,00935	0,01159	
zveza	s	0,0087	0,00929	0,01836	0,00997	0,01158	
ven	r	0,01101	0,02517	0,00369	0,00628	0,01154	
volja	s	0,0123	0,0062	0,01444	0,01317	0,01153	
oni	z	0,01321	0,02923	0,00167	0,00191	0,01151	
znan	p	0,01117	0,00649	0,01729	0,01071	0,01142	
strinjati	g	0,01923	0,00755	0,00561	0,01323	0,01141	
kmalu	r	0,01122	0,00455	0,01145	0,01834	0,01139	
pogovarjati	g	0,00553	0,01346	0,00616	0,02024	0,01135	
rabiti	g	0,02179	0,01762	0,00149	0,00437	0,01132	
lasten	p	0,01114	0,00281	0,01368	0,01717	0,01120	
očitno	r	0,02278	0,00774	0,01026	0,004	0,01120	
težek	p	0,01011	0,0062	0,0096	0,01883	0,01119	
rešiti	g	0,00992	0,00678	0,0072	0,0208	0,01118	
točno	r	0,01358	0,02449	0,00286	0,00363	0,01114	
fant	s	0,00856	0,0059	0,00764	0,02228	0,01110	
moč	s	0,00869	0,00426	0,01442	0,01674	0,01103	
resnica	s	0,01379	0,00697	0,01138	0,01188	0,01101	
moški	s	0,00792	0,00348	0,01137	0,02123	0,01100	
sistem	s	0,01436	0,00745	0,01676	0,00541	0,01100	
vesel	p	0,01033	0,00542	0,00658	0,02148	0,01095	
doseči	g	0,00726	0,00397	0,01438	0,01815	0,01094	
odgovor	s	0,01777	0,00523	0,0119	0,00874	0,01091	
želja	s	0,00802	0,00368	0,01094	0,02098	0,01091	
opaziti	g	0,00899	0,00319	0,01049	0,02086	0,01088	
avto	s	0,02432	0,00755	0,00683	0,00474	0,01086	
potreben	p	0,01282	0,00378	0,01507	0,01163	0,01083	
žal	r	0,01923	0,0062	0,00822	0,0096	0,01081	
dejanje	s	0,00566	0,00184	0,00797	0,02769	0,01079	
naslov	s	0,01009	0,00697	0,01716	0,00892	0,01079	
prinesti	g	0,00842	0,01413	0,00945	0,01114	0,01079	
izgubiti	g	0,00959	0,00319	0,00992	0,02031	0,01075	
veljati	g	0,0124	0,00561	0,01708	0,00788	0,01074	
brati	g	0,02008	0,00745	0,00613	0,00917	0,01071	
delovati	g	0,0136	0,006	0,01332	0,00978	0,01068	
besedilo	s	0,00197	0,00329	0,00884	0,02855	0,01066	
razlika	s	0,01306	0,00736	0,00863	0,0136	0,01066	
skrbeti	g	0,00947	0,00474	0,01072	0,01766	0,01065	
dom	s	0,00708	0,00629	0,01405	0,01508	0,01063	
slediti	g	0,01191	0,00329	0,01403	0,01305	0,01057	
cena	s	0,0166	0,00629	0,0134	0,00597	0,01057	
cesta	s	0,01288	0,01007	0,01382	0,00548	0,01056	
vloga	s	0,00574	0,00368	0,01525	0,01741	0,01052	
deset	k	0,00379	0,02352	0,01169	0,00265	0,01041	
vojna	s	0,00924	0,00358	0,00973	0,01895	0,01038	
dokler	v	0,01261	0,00726	0,0101	0,01151	0,01037	
obdobje	s	0,0041	0,00494	0,01317	0,01914	0,01034	
kam	r	0,01253	0,01762	0,00559	0,00548	0,01031	
pričakovati	g	0,01263	0,00678	0,01226	0,00948	0,01029	
voditi	g	0,00984	0,00465	0,01581	0,01077	0,01027	
bog	s	0,01043	0,00707	0,00775	0,01581	0,01027	
razlog	s	0,01146	0,00387	0,01249	0,01323	0,01026	
poln	p	0,01441	0,00465	0,01164	0,01028	0,01025	
podatek	s	0,01209	0,00755	0,01816	0,00302	0,01021	
ma	l	0,01302	0,02701	0,00041	0,00031	0,01019	
pripravljen	p	0,00807	0,00755	0,0115	0,0136	0,01018	
posebej	r	0,00839	0,00862	0,01442	0,00917	0,01015	
prihajati	g	0,00958	0,00765	0,01073	0,01255	0,01013	
oblika	s	0,00748	0,00513	0,02058	0,00732	0,01013	
domač	p	0,00953	0,00532	0,01389	0,01126	0,01000	
program	s	0,00939	0,00639	0,01823	0,00591	0,00998	
gospod	s	0,00576	0,0181	0,00826	0,00775	0,00997	
kasno	r	0,0063	0,00561	0,0075	0,02024	0,00991	
noč	s	0,01124	0,00581	0,01032	0,01225	0,00991	
dajati	g	0,01006	0,0061	0,01193	0,01151	0,00990	
osnoven	p	0,00573	0,00745	0,01139	0,01489	0,00987	
kraj	s	0,00662	0,00494	0,01394	0,01366	0,00979	
občutek	s	0,00984	0,00561	0,01041	0,01329	0,00979	
vplivati	g	0,00416	0,00339	0,00864	0,02295	0,00979	
odločitev	s	0,00665	0,00252	0,00981	0,02012	0,00978	
enak	z	0,01032	0,00474	0,01139	0,01255	0,00975	
cilj	s	0,00672	0,00378	0,01168	0,0168	0,00975	
brat	s	0,00394	0,00416	0,00563	0,02511	0,00971	
zraven	r	0,0101	0,02081	0,00309	0,00474	0,00969	
